1 Q0 Globalwarming.txt 1  0.31433234 Lucene
1 Q0 UnitedNationsFrameworkConventiononClimateChange.txt 2  0.19791259 Lucene
1 Q0 Environmentalimpactoftheenergyindustry.txt 3  0.1885559 Lucene
1 Q0 Sustainabilityandenvironmentalmanagement.txt 4  0.172979 Lucene
1 Q0 Climatechangemitigation.txt 5  0.16933782 Lucene
1 Q0 88888LightsOut.txt 6  0.1648105 Lucene
1 Q0 Greenhousegasremediation.txt 7  0.1648105 Lucene
1 Q0 Greenhousegas.txt 8  0.1592567 Lucene
1 Q0 Greenhousegasemissions.txt 9  0.1592567 Lucene
1 Q0 Naturalenvironment.txt 10  0.15768084 Lucene
1 Q0 JamesLovelock.txt 11  0.15437639 Lucene
1 Q0 Climatechange.txt 12  0.15316796 Lucene
1 Q0 Energyrecycling.txt 13  0.15059687 Lucene
1 Q0 Marinecurrentpower.txt 14  0.15024818 Lucene
1 Q0 Ecologicalfootprint.txt 15  0.14747553 Lucene
1 Q0 CarbonRecyclingInternational.txt 16  0.14438593 Lucene
1 Q0 Landfillgas.txt 17  0.14293478 Lucene
1 Q0 Cleancoaltechnology.txt 18  0.14041066 Lucene
1 Q0 Energyrecovery.txt 19  0.13856205 Lucene
1 Q0 Humanimpactontheenvironment.txt 20  0.13796178 Lucene
1 Q0 Climate.txt 21  0.13660704 Lucene
1 Q0 PhilRadford.txt 22  0.13431308 Lucene
1 Q0 Carbonoffset.txt 23  0.13398537 Lucene
1 Q0 Planetaryboundaries.txt 24  0.12718669 Lucene
1 Q0 Geothermalenergy.txt 25  0.1227562 Lucene
1 Q0 Geothermalelectricity.txt 26  0.12152943 Lucene
1 Q0 Geothermalpower.txt 27  0.12152943 Lucene
1 Q0 RenewableenergyintheEuropeanUnion.txt 28  0.11970274 Lucene
1 Q0 10025renewableenergy.txt 29  0.11739527 Lucene
1 Q0 Environmentalimpactofaviation.txt 30  0.1161271 Lucene
1 Q0 Biodiversity.txt 31  0.11537229 Lucene
1 Q0 Energydevelopment.txt 32  0.11471342 Lucene
1 Q0 Energyresilience.txt 33  0.11471342 Lucene
1 Q0 PatrickMooreenvironmentalist.txt 34  0.11330196 Lucene
1 Q0 Photovoltaic.txt 35  0.11027017 Lucene
1 Q0 Solarphotovoltaics.txt 36  0.11027017 Lucene
1 Q0 EnergySavingTrust.txt 37  0.10757254 Lucene
1 Q0 Greenparadox.txt 38  0.105846874 Lucene
1 Q0 Renewableelectricity.txt 39  0.10463597 Lucene
1 Q0 Renewableenergy.txt 40  0.10463597 Lucene
1 Q0 Sustainability.txt 41  0.10257226 Lucene
1 Q0 Pollution.txt 42  0.10251017 Lucene
1 Q0 Lowcarbonpower.txt 43  0.102096274 Lucene
1 Q0 Incineration.txt 44  0.1013201 Lucene
1 Q0 Environmentalimpactofelectricitygeneration.txt 45  0.10123009 Lucene
1 Q0 Fossilfuelpowerplant.txt 46  0.10037385 Lucene
1 Q0 Fossilfuelpowerstation.txt 47  0.10037385 Lucene
1 Q0 Naturalgaspowerplant.txt 48  0.10037385 Lucene
1 Q0 Conservationbiology.txt 49  0.100331046 Lucene
1 Q0 Greenpeace.txt 50  0.098556176 Lucene
1 Q0 Energyaudit.txt 51  0.096890904 Lucene
1 Q0 Environmentaleconomics.txt 52  0.095190495 Lucene
1 Q0 Holoceneextinction.txt 53  0.09442807 Lucene
1 Q0 Naturalgas.txt 54  0.093303174 Lucene
1 Q0 Cleantechnology.txt 55  0.0931645 Lucene
1 Q0 Cleanenergy.txt 56  0.09240773 Lucene
1 Q0 Sustainableenergy.txt 57  0.09240773 Lucene
1 Q0 Sustainablebiofuel.txt 58  0.09215142 Lucene
1 Q0 Biochar.txt 59  0.09207419 Lucene
1 Q0 Wasteheat.txt 60  0.09065589 Lucene
1 Q0 Methane.txt 61  0.09052173 Lucene
1 Q0 Foodsecurity.txt 62  0.08830532 Lucene
1 Q0 Energytax.txt 63  0.08740397 Lucene
1 Q0 Bioenergy.txt 64  0.08663157 Lucene
1 Q0 Biomassheatingsystem.txt 65  0.08663157 Lucene
1 Q0 Fuel.txt 66  0.08660128 Lucene
1 Q0 Switchgrass.txt 67  0.085859165 Lucene
1 Q0 Biogas.txt 68  0.08540383 Lucene
1 Q0 Sewagegas.txt 69  0.08540383 Lucene
1 Q0 Environmentalenterprise.txt 70  0.08531286 Lucene
1 Q0 Nuclearpower.txt 71  0.08499319 Lucene
1 Q0 ConventiononBiologicalDiversity.txt 72  0.08479833 Lucene
1 Q0 Nonrenewableenergy.txt 73  0.08479833 Lucene
1 Q0 Sustainablefishery.txt 74  0.08479833 Lucene
1 Q0 Emissionstrading.txt 75  0.08471368 Lucene
1 Q0 CenterforSustainableEnergyFarming.txt 76  0.08416444 Lucene
1 Q0 Peakoil.txt 77  0.08347136 Lucene
1 Q0 Hydrogenfuel.txt 78  0.08240525 Lucene
1 Q0 Windfarm.txt 79  0.08181684 Lucene
1 Q0 Costofelectricitybysource.txt 80  0.08175786 Lucene
1 Q0 Solarenergy.txt 81  0.08139753 Lucene
1 Q0 WorldWideFundforNature.txt 82  0.08042525 Lucene
1 Q0 Energytransition.txt 83  0.079325415 Lucene
1 Q0 Volcanoes.txt 84  0.07885297 Lucene
1 Q0 Coal.txt 85  0.07853121 Lucene
1 Q0 Biofuel.txt 86  0.07822093 Lucene
1 Q0 Biomasspower.txt 87  0.07822093 Lucene
1 Q0 Energystorage.txt 88  0.078009844 Lucene
1 Q0 Powerstorage.txt 89  0.078009844 Lucene
1 Q0 Airconditioning.txt 90  0.07784913 Lucene
1 Q0 UNEP.txt 91  0.077435 Lucene
1 Q0 UnitedNationsEnvironmentProgramme.txt 92  0.077435 Lucene
1 Q0 Windenergy.txt 93  0.077151544 Lucene
1 Q0 Windpower.txt 94  0.077151544 Lucene
1 Q0 ViennaClimateChangeTalks2007.txt 95  0.07606528 Lucene
1 Q0 Alternativeenergy.txt 96  0.075303555 Lucene
1 Q0 Energyefficientbuildings.txt 97  0.074435174 Lucene
1 Q0 Greenbuilding.txt 98  0.074435174 Lucene
1 Q0 Biomass.txt 99  0.0737474 Lucene
1 Q0 Negawatt.txt 100  0.0737474 Lucene
2 Q0 3Degrees.txt 1  0.4200997 Lucene
2 Q0 RenewableEnergyCertificate.txt 2  0.3626191 Lucene
2 Q0 RenewableEnergyCertificates.txt 3  0.3626191 Lucene
2 Q0 Greenjob.txt 4  0.34853685 Lucene
2 Q0 RenewableenergyinMexico.txt 5  0.33668244 Lucene
2 Q0 Greeneconomy.txt 6  0.3320086 Lucene
2 Q0 RenewableenergyinLuxembourg.txt 7  0.3106627 Lucene
2 Q0 Cleanenergy.txt 8  0.30941534 Lucene
2 Q0 Sustainableenergy.txt 9  0.30941534 Lucene
2 Q0 RenewableenergyinIndia.txt 10  0.30483618 Lucene
2 Q0 TheGreenDeal.txt 11  0.2802027 Lucene
2 Q0 RenewableenergyinItaly.txt 12  0.27666607 Lucene
2 Q0 RenewableenergyinSweden.txt 13  0.27565625 Lucene
2 Q0 RenewableenergyinLithuania.txt 14  0.26822287 Lucene
2 Q0 RenewableenergyintheUnitedKingdom.txt 15  0.26552784 Lucene
2 Q0 RenewableenergyinthePhilippines.txt 16  0.26308185 Lucene
2 Q0 Renewableenergycommercialization.txt 17  0.26223817 Lucene
2 Q0 Renewableenergypolicy.txt 18  0.26223817 Lucene
2 Q0 SiliconValleyPower.txt 19  0.26209497 Lucene
2 Q0 CommunityChoiceAggregation.txt 20  0.2599411 Lucene
2 Q0 RenewableenergyintheUnitedStates.txt 21  0.25981978 Lucene
2 Q0 RenewableenergyinCanada.txt 22  0.25966263 Lucene
